brand,type,count,newbrand,newbrand2,newbrand3
AMOI N821,AMOI N821.amoi77_cu_ics2.amoi77_cu_ics2,1,AMOI,AMOI,其他
AMOI,AMOI N828,3,AMOI,AMOI,其他
Android,Android,1,Android,ANDROID,其他
alps,Android,1,alps,ALPS,ALPS
AoleDior,AoleDior,1,AoleDior,AOLEDIOR,其他
bq,Aquaris E6,1,bq,BQ,其他
JTY,AS601,1,JTY,JTY,其他
asus,ASUS K00S,2,asus,ASUS,ASUS
asus,ASUS PadFone X,1,asus,ASUS,ASUS
asus,ASUS_T001,2,asus,ASUS,ASUS
asus,ASUS_T00E,1,asus,ASUS,ASUS
asus,ASUS_T00F,15,asus,ASUS,ASUS
ASUS_T00F,ASUS_T00F,1,ASUS,ASUS,ASUS
asus,ASUS_T00G,8,asus,ASUS,ASUS
ASUS_T00G,ASUS_T00G.ASUS_T00G.CN_a600cg,1,ASUS,ASUS,ASUS
asus,ASUS_T00J,10,asus,ASUS,ASUS
asus,ASUS_T00N,1,asus,ASUS,ASUS
asus,ASUS_T00P,4,asus,ASUS,ASUS
asus,ASUS_X002,26,asus,ASUS,ASUS
ASUS_X002,ASUS_X002,1,ASUS,ASUS,ASUS
ASUS_X002,ASUS_X002.ASUS_X002.CMCC_Phone,1,ASUS,ASUS,ASUS
AUX,AUX I6L,2,AUX,AUX,其他
alps,AUX I6T,1,alps,ALPS,ALPS
alps,AUX T5010,2,alps,ALPS,ALPS
AUX,AUX T5100L,1,AUX,AUX,其他
AUX,AUX T6200L,3,AUX,AUX,其他
AUX,AUX T7100,1,AUX,AUX,其他
AUX,AUX T8300,2,AUX,AUX,其他
alps,AUX V950AW,2,alps,ALPS,ALPS
alps,AUX V965T,1,alps,ALPS,ALPS
移动4G,B5700,1,移动4G,移动4G,其他
android,B6,1,Android,ANDROID,其他
Bambookphone,Bambook S1,1,Bambookphone,BAMBOOKPHONE,其他
Bambook S1,Bambook S1.u8500.s1w_u8500,1,Bambook S1,BAMBOOK S1,其他
vivo,BBK Y3t,1,vivo,VIVO,VIVO
BenWee,BenWee V9,1,BenWee,BENWEE,其他
BESTSONNY,Best sonny_L82,1,BESTSONNY,BESTSONNY,其他
BESTSONNY,Best_sonny_L82,2,BESTSONNY,BESTSONNY,其他
BESTSONNY,Bestsonny LT416,1,BESTSONNY,BESTSONNY,其他
BESTSONNY,Bestsonny_LT988,1,BESTSONNY,BESTSONNY,其他
Bifer,BF A700,1,bifer,BIFER,BIFER
bifer,BF T12,2,bifer,BIFER,BIFER
bifer,BF_A500,3,bifer,BIFER,BIFER
Bifer,BF_A500,2,bifer,BIFER,BIFER
bifer,BF_K11,1,bifer,BIFER,BIFER
bifer,BF_T10,2,bifer,BIFER,BIFER
Bifer,BF_T12,2,bifer,BIFER,BIFER
bifer,BF_T15,1,bifer,BIFER,BIFER
bifer,BF_T18,9,bifer,BIFER,BIFER
bifer,BF5200,1,bifer,BIFER,BIFER
BF-A700-i6,BF-A700-i6.bird71_et_c_jb7.bird71_et_c_jb7,1,BF-A700-i6,BF-A700-I6,其他
Bird,Bird F5,1,BIRD,BIRD,BIRD
Bird,Bird i8,1,BIRD,BIRD,BIRD
BIRD,BIRD L101,2,BIRD,BIRD,BIRD
BIRD,BIRD L108,1,BIRD,BIRD,BIRD
Bird,Bird L108,1,BIRD,BIRD,BIRD
Bird,Bird L5,1,BIRD,BIRD,BIRD
Bird,Bird L600,1,BIRD,BIRD,BIRD
Bird,Bird L7,2,BIRD,BIRD,BIRD
Bird,Bird L8,2,BIRD,BIRD,BIRD
Bird,Bird L9,4,BIRD,BIRD,BIRD
Bird,Bird LT02,4,BIRD,BIRD,BIRD
BIRD,BIRD S6,1,BIRD,BIRD,BIRD
BIRD,Bird S6,1,BIRD,BIRD,BIRD
BIRD,BIRD XL100,1,BIRD,BIRD,BIRD
Bird,Bird XL200,1,BIRD,BIRD,BIRD
BOWAY,BOWAY I7,1,BOWAY,BOWAY,BOWAY
BOWAY,BOWAY I9,1,BOWAY,BOWAY,BOWAY
BOWAY,BOWAY P1,1,BOWAY,BOWAY,BOWAY
BOWAY,BOWAY TL1000,2,BOWAY,BOWAY,BOWAY
BOWAY,BOWAY TL2000,3,BOWAY,BOWAY,BOWAY
BOWAY,BOWAY TL600,1,BOWAY,BOWAY,BOWAY
alps,BOWAY U5,1,alps,ALPS,ALPS
BOWAY,BOWAY V9,1,BOWAY,BOWAY,BOWAY
BOWAY,BOWAY_U7,17,BOWAY,BOWAY,BOWAY
BOWAY_U7,BOWAY_U7.BOWAY_U7.BOWAY_U7,2,BOWAY_U7,BOWAY_U7,其他
Sony,C1905,1,Sony,SONY,SONY
Sony,C2305,2,Sony,SONY,SONY
PHICOMM,C530Lw,1,phicomm,PHICOMM,其他
Sony,C5503,1,Sony,SONY,SONY
feixun,C630Lw,16,feixun,FEIXUN,FEIXUN
C630Lw,C630Lw,1,C630Lw,C630LW,其他
Sony,C6602,7,Sony,SONY,SONY
C6602,C6602.C6602.C6602_1271-0119,1,sony,SONY,SONY
Sony,C6603,19,Sony,SONY,SONY
C6603,C6603,1,sony,SONY,SONY
C6603,C6603.C6603.C6603,1,sony,SONY,SONY
Sony,C6802,4,Sony,SONY,SONY
Sony,C6833,3,Sony,SONY,SONY
Sony,C6902,3,Sony,SONY,SONY
Sony,C6903,4,Sony,SONY,SONY
C6903,C6903.C6903.C6903,2,sony,SONY,SONY
Sony,C6906,1,Sony,SONY,SONY
C6916,C6916.C6916.C6916,1,sony,SONY,SONY
feixun,C730Lw,115,feixun,FEIXUN,FEIXUN
generic,C730Lw,14,generic,GENERIC,GENERIC
phicomm,C730Lw,5,phicomm,PHICOMM,其他
C730Lw,C730Lw,2,PHICOMM,PHICOMM,其他
C730Lw,C730Lw.C730Lw.C730Lw,3,PHICOMM,PHICOMM,其他
C730Lw,C730Lw.msm8909.msm8909,3,PHICOMM,PHICOMM,其他
C856,C856,2,卡布奇诺,卡布奇诺,其他
CA,C856,1,CA,CA,其他
YotaPhone,C9660,1,YotaPhone,YOTAPHONE,YOTAPHONE
cayon,Cayon_Q1,1,cayon,CAYON,其他
Changhong,Changhong X9,1,Changhong,CHANGHONG,CHANGHONG
Changhong,Changhong A100,5,Changhong,CHANGHONG,CHANGHONG
ChanghongA100,Changhong A100.Changhong.ChanghongA100,1,Changhong,CHANGHONG,CHANGHONG
Changhong,Changhong A898,1,Changhong,CHANGHONG,CHANGHONG
qcom,Changhong C808,1,qcom,QCOM,QCOM
Changhong,Changhong N9,3,Changhong,CHANGHONG,CHANGHONG
ChanghongT619,Changhong T619,2,Changhong,CHANGHONG,CHANGHONG
Changhong,Changhong V5t,1,Changhong,CHANGHONG,CHANGHONG
Changhong,Changhong V70t,1,Changhong,CHANGHONG,CHANGHONG
alps,Changhong V70t,1,alps,ALPS,ALPS
Changhong,Changhong X5,1,Changhong,CHANGHONG,CHANGHONG
Changhong,Changhong Z3t,1,Changhong,CHANGHONG,CHANGHONG
Honor,Che1-CL20,816,huawei,HUAWEI,HUAWEI
Che1-CL20,Che1-CL20,11,huawei,HUAWEI,HUAWEI
Che1-CL20,Che1-CL20.Che1.Che1-CL20,50,huawei,HUAWEI,HUAWEI
Honor,Che2-TL00,156,huawei,HUAWEI,HUAWEI
Che2-TL00,Che2-TL00,1,huawei,HUAWEI,HUAWEI
Che2-TL00,Che2-TL00.hwChe2.Che2-TL00,9,huawei,HUAWEI,HUAWEI
Honor,Che2-TL00H,12,huawei,HUAWEI,HUAWEI
Honor,Che2-TL00M,209,huawei,HUAWEI,HUAWEI
Che2-TL00M,Che2-TL00M.hwChe2.Che2-TL00M,9,huawei,HUAWEI,HUAWEI
Honor,Che2-UL00,1064,huawei,HUAWEI,HUAWEI
Che2-UL00,Che2-UL00,13,huawei,HUAWEI,HUAWEI
Che2-UL00,Che2-UL00.hwChe2.Che2-UL00,52,huawei,HUAWEI,HUAWEI
Honor,CHE-TL00,30,huawei,HUAWEI,HUAWEI
CHE-TL00,CHE-TL00.hnCHE-H.CHE-TL00,1,huawei,HUAWEI,HUAWEI
Honor,CHE-TL00H,31,huawei,HUAWEI,HUAWEI
CHE-TL00H,CHE-TL00H.hnCHE-H.CHE-TL00H,2,huawei,HUAWEI,HUAWEI
Honor,CHM-CL00,61,huawei,HUAWEI,HUAWEI
CHM-CL00,CHM-CL00.hwCHM-Q.CHM-CL00,2,huawei,HUAWEI,HUAWEI
Honor,CHM-TL00,293,huawei,HUAWEI,HUAWEI
CHM-TL00,CHM-TL00,4,huawei,HUAWEI,HUAWEI
CHM-TL00,CHM-TL00.hwCHM-H.CHM-TL00,11,huawei,HUAWEI,HUAWEI
Honor,CHM-TL00H,293,huawei,HUAWEI,HUAWEI
CHM-TL00H,CHM-TL00H,8,huawei,HUAWEI,HUAWEI
CHM-TL00H,CHM-TL00H.hwCHM-H.CHM-TL00H,17,huawei,HUAWEI,HUAWEI
Honor,CHM-UL00,719,huawei,HUAWEI,HUAWEI
CHM-UL00,CHM-UL00,10,huawei,HUAWEI,HUAWEI
CHM-UL00,CHM-UL00.hwCHM-H.CHM-UL00,40,huawei,HUAWEI,HUAWEI
CKCOM,CKCOM_C1,1,CKCOM,CKCOM,其他
Newman,CM810,9,Newman,NEWMAN,其他
CM9,CM9,1,CM9,CM9,其他
Comio C3,Comio C3,1,Comio C3,COMIO C3,其他
Spreadtrum,COMIO C6,2,Spreadtrum,SPREADTRUM,其他
conquest,conquest-S6,1,conquest,CONQUEST,其他
Coolpad,Coolpad 5219,2,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7020,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7060S,3,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7061,14,Coolpad,COOLPAD,COOLPAD
Coolpad 7061,Coolpad 7061.CP7061.CP7061,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7105,17,Coolpad,COOLPAD,COOLPAD
Coolpad 7105,Coolpad 7105.Coolpad7105.Coolpad7105,2,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7230S,2,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7231,2,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7235,1,Coolpad,COOLPAD,COOLPAD
China Unicom,Coolpad 7236,1,China Unicom,CHINAUNICOM,其他
Coolpad,Coolpad 7251,17,Coolpad,COOLPAD,COOLPAD
Coolpad 7251,Coolpad 7251.Coolpad7251.Coolpad7251,3,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7268,3,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7269,2,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7270,15,Coolpad,COOLPAD,COOLPAD
Coolpad7270,Coolpad 7270,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7270_W00,12,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7275,7,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7290,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7295,16,Coolpad,COOLPAD,COOLPAD
Coolpad 7295,Coolpad 7295 .Coolpad7295A.Coolpad7295A,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7295+,6,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7295A,7,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7295C,70,Coolpad,COOLPAD,COOLPAD
Coolpad 7295C,Coolpad 7295C.Coolpad7295C.Coolpad7295C,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7296,77,Coolpad,COOLPAD,COOLPAD
coolpad,coolpad 7296,1,Coolpad,COOLPAD,COOLPAD
Coolpad 7296,Coolpad 7296.Coolpad7296.Coolpad7296,3,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7296S,32,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7298A,17,Coolpad,COOLPAD,COOLPAD
Coolpad 7298A,Coolpad 7298A.Coolpad7298A.Coolpad7298A,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7298D,37,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7320,23,Coolpad,COOLPAD,COOLPAD
Coolpad 7320,Coolpad 7320.Coolpad7320.Coolpad7320,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7605,28,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7620L,149,Coolpad,COOLPAD,COOLPAD
Coolpad 7620L,Coolpad 7620L.Coolpad7620L.Coolpad7620L,2,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7620L-W00,41,Coolpad,COOLPAD,COOLPAD
Coolpad 7620L-W00,Coolpad 7620L-W00.Coolpad7620L-W00.Coolpad7620L-W00,3,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7920,2,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8017,7,Coolpad,COOLPAD,COOLPAD
Coolpad 8017,Coolpad 8017.cp8017_m02.cp8017_m02,2,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8017-T00,5,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8029,4,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8056,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8076D,2,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8079,4,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8089,9,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8105,11,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8122,6,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8190Q,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8297,224,Coolpad,COOLPAD,COOLPAD
Xiaomi,Coolpad 8297,1,Xiaomi,XIAOMI,XIAOMI
alps,Coolpad 8297,1,alps,ALPS,ALPS
Coolpad 8297,Coolpad 8297.Coolpad8297.Coolpad8297,3,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8297_4.4,7,Coolpad,COOLPAD,COOLPAD
Coolpad 8297_4.4,Coolpad 8297_4.4.Coolpad8297.Coolpad8297,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8297D,40,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8297-T01,199,Coolpad,COOLPAD,COOLPAD
Coolpad 8297-T01,Coolpad 8297-T01.Coolpad8297-T01.Coolpad8297-T01,3,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8297W,208,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8297w,1,Coolpad,COOLPAD,COOLPAD
Coolpad 8297W,Coolpad 8297W.Coolpad8297W.Coolpad8297W,7,Coolpad,COOLPAD,COOLPAD
Coolpad 8297W,Coolpad 8297W.lcsh92_wet_tdd.lcsh92_wet_tdd,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8297-W01,38,Coolpad,COOLPAD,COOLPAD
Coolpad 8297-W01,Coolpad 8297-W01.Coolpad8297-W01.Coolpad8297-W01,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8670,38,Coolpad,COOLPAD,COOLPAD
alps,Coolpad 8670,2,alps,ALPS,ALPS
Coolpad 8670,Coolpad 8670.Coolpad8670.Coolpad8670,1,Coolpad,COOLPAD,COOLPAD
alps,Coolpad 8675,247,alps,ALPS,ALPS
Coolpad,Coolpad 8675,8,Coolpad,COOLPAD,COOLPAD
Coolpad 8675,Coolpad 8675,3,Coolpad,COOLPAD,COOLPAD
Coolpad 8675,Coolpad 8675.8675.8675,13,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8675-A,570,Coolpad,COOLPAD,COOLPAD
Coolpad 8675-A,Coolpad 8675-A.Coolpad8675-A.Coolpad8675-A,13,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8675-F01,7,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8675-FHD,282,Coolpad,COOLPAD,COOLPAD
Coolpad 8675-FHD,Coolpad 8675-FHD.8675-FHD.8675-FHD,3,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8675-HD,170,Coolpad,COOLPAD,COOLPAD
Coolpad 8675-HD,Coolpad 8675-HD.8675-HD.8675-HD,2,Coolpad,COOLPAD,COOLPAD
Coolpad+8675-HD,Coolpad 8675-HD.8675-HD.8675-HD,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8675-W00,269,Coolpad,COOLPAD,COOLPAD
Coolpad 8675-W00,Coolpad 8675-W00.Coolpad8675-W00.Coolpad8675-W00,7,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8690,75,Coolpad,COOLPAD,COOLPAD
Coolpad 8690,Coolpad 8690.8690.8690,2,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8690_T00,23,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8702,21,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8702D,5,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8705,17,Coolpad,COOLPAD,COOLPAD
Coolpad 8705,Coolpad 8705.Coolpad8705.Coolpad8705,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8707,4,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8712,51,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8712S,12,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8713,9,Coolpad,COOLPAD,COOLPAD
ChinaMobile,Coolpad 8715,10,ChinaMobile,CMCC,CMCC
Coolpad,Coolpad 8717,2,Coolpad,COOLPAD,COOLPAD
yulong,Coolpad 8720L,45,Coolpad,COOLPAD,COOLPAD
Coolpad 8720L,Coolpad 8720L.Coolpad8720L.Coolpad8720L,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8721,9,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8729,30,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8730L,57,Coolpad,COOLPAD,COOLPAD
Coolpad 8730L,Coolpad 8730L.Coolpad8730L.Coolpad8730L,1,Coolpad,COOLPAD,COOLPAD
ChinaMobile,Coolpad 8732,7,ChinaMobile,CMCC,CMCC
Coolpad,Coolpad 8736,3,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8970L,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8971,9,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 9080W,5,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 9150W,2,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 9190_T00,31,Coolpad,COOLPAD,COOLPAD
Coolpad 9190_T00,Coolpad 9190_T00.Coolpad9190_T00.Coolpad9190_T00,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 9976A,42,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 9976D,6,Coolpad,COOLPAD,COOLPAD
Coolpad 9976D,Coolpad 9976D.9976D.9976D,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 9976T,44,Coolpad,COOLPAD,COOLPAD
Coolpad 9976T,Coolpad 9976T.Coolpad9976T.Coolpad9976T,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad K1-NT,10,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad S6-NC1,10,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad S6-NT,10,Coolpad,COOLPAD,COOLPAD
